"dataset1","dataset2","distance"
abalone,abalone,0.0
abalone,artificial-characters,9.637302132254053
abalone,balance-scale,4.582157706382529
abalone,breast-tissue,5.033177147385248
abalone,car,5.662132089039487
abalone,cardiotocography,6.730224211015781
abalone,cmc,4.670551779645956
abalone,cnae-9,8.228145000027299
abalone,collins,7.938857563430898
abalone,covertype,9.776998541745748
abalone,desharnais,5.521953115708296
abalone,diggle_table_a2,5.1382588323593446
abalone,ecoli,4.969057607256178
abalone,energy-efficiency,8.890008602509127
abalone,eye_movements,8.806965044491866
abalone,fabert,9.484600758927778
abalone,fars,9.85916309008895
abalone,fashion-mnist,9.926701249065404
abalone,gas-drift-different-concentrations,7.252877598289256
abalone,gas-drift,7.297824051538217
abalone,gina_prior2,8.22008320734617
abalone,glass,5.551668676118914
abalone,har,8.56940999174466
abalone,hayes-roth,5.747912545959261
abalone,heart-long-beach,6.049996675817365
abalone,heart-switzerland,5.910254346686118
abalone,helena,9.747352750673398
abalone,indian_pines,9.087989896784137
abalone,iris,5.878842248215144
abalone,jannis,9.804648787567938
abalone,japanesevowels,6.421152914378601
abalone,jungle_chess_2pcs_endgame_panther_elephant,6.3112044178104325
abalone,jungle_chess_2pcs_raw_endgame_complete,8.866973278538003
abalone,leaf,7.044128442841992
abalone,led-display-domain-7digit,6.634385292049765
abalone,mfeat-factors,5.842816379605196
abalone,mfeat-fourier,5.492012023781425
abalone,mfeat-karhunen,5.790816232589065
abalone,mfeat-morphological,6.89394201234765
abalone,mfeat-pixel,6.039565912335756
abalone,microaggregation2,8.337009179689446
abalone,nursery,8.967446593736419
abalone,page-blocks,6.735545269897014
abalone,pokerhand,9.776311892119091
abalone,popularkids,5.506203520484339
abalone,prnn_fglass,5.551668676118899
abalone,prnn_viruses,5.557306414104523
abalone,rmftsa_sleepdata,5.152385086974363
abalone,robot-failures-lp1,5.6097405556342395
abalone,robot-failures-lp5,5.687663990647936
abalone,satimage,8.762285786638003
abalone,seeds,5.605570745494067
abalone,segment,5.0922317846197656
abalone,seismic-bumps,5.605570745494067
abalone,semeion,5.895094612972159
abalone,shuttle,9.769546271266117
abalone,spectrometer,6.851941750921642
abalone,steel-plates-fault,5.174962097864785
abalone,synthetic_control,6.9618890067612975
abalone,tae,5.418258616513788
abalone,tamilnadu-electricity,8.983872399402129
abalone,teachingassistant,6.381454574586276
abalone,thyroid-allbp,6.734917645250166
abalone,thyroid-allhyper,6.734917645250166
abalone,user-knowledge,5.547728632787469
abalone,vehicle,6.301245152976989
abalone,vertebra-column,6.741580082503628
abalone,volcanoes-a1,5.4462793504293145
abalone,volcanoes-a3,5.63242901736285
abalone,volcanoes-a4,5.241838325369742
abalone,volcanoes-d1,9.776984137346016
abalone,wall-robot-navigation,4.9699970456399996
abalone,waveform-5000,5.708155740251388
abalone,wine-quality-white,7.490020571073156
abalone,wine,5.58720570916515
abalone,zoo,6.914849115676801
artificial-characters,abalone,9.637302132254053
artificial-characters,artificial-characters,0.0
artificial-characters,balance-scale,9.065826168977413
artificial-characters,breast-tissue,8.921982863234982
artificial-characters,car,9.499771460689155
artificial-characters,cardiotocography,9.441784032932114
artificial-characters,cmc,9.384330621558655
artificial-characters,cnae-9,11.049869432367501
artificial-characters,collins,10.836790408685818
artificial-characters,covertype,12.101094350312472
artificial-characters,desharnais,8.979872722062474
artificial-characters,diggle_table_a2,9.442742637128614
artificial-characters,ecoli,9.230367364541618
artificial-characters,energy-efficiency,10.644847002945372
artificial-characters,eye_movements,11.766672233399499
artificial-characters,fabert,11.95216619083375
