"name","mean disp (val)","mean disp (iter)"
abalone,0.015720846819078437,28
artificial-characters,0.0069060337298337045,24
balance-scale,0.005114884116420693,24
breast-tissue,0.016125763125763116,18
car,0.030408332830185746,17
cardiotocography,0.02640885628698576,25
cmc,0.007568518579586481,26
cnae-9,0.003070188049180589,30
collins,0.027089081985286957,20
covertype,0.007162058848558528,21
desharnais,0.04817805704762228,26
diggle_table_a2,0.0032018488882798236,28
ecoli,0.021669426780532353,23
energy-efficiency,0.03670861719278061,29
eye_movements,0.02401922375382166,25
fabert,0.005911299687452631,2
fars,0.019321463358881564,13
Fashion-MNIST,0.00587071584740193,14
gas-drift,0.0020071276066936485,19
gas-drift-different-concentrations,0.0023336208790602055,23
gina_prior2,0.005792962456909023,26
glass,0.028936677191790404,21
har,0.0014896182396576419,24
hayes-roth,0.02005082262817782,24
heart-long-beach,0.024115587014241536,22
heart-switzerland,0.04515276427276428,35
helena,0.0036678711129311424,23
Indian_pines,0.0636900851714468,29
iris,0.0,1
jannis,1.2081682913611669e-05,16
JapaneseVowels,0.12540506424962455,26
jungle_chess_2pcs_endgame_panther_elephant,0.00048137657901422556,16
jungle_chess_2pcs_raw_endgame_complete,0.006153685014120247,29
leaf,0.00943609937504456,21
LED-display-domain-7digit,0.006403947854831693,23
mfeat-factors,0.008077540540906486,22
mfeat-fourier,0.005324730668459199,20
mfeat-karhunen,0.002654057897895279,23
mfeat-morphological,0.05379203616351239,30
mfeat-pixel,0.01917464942703887,23
microaggregation2,0.00934766748612218,19
nursery,0.009098987845676124,14
page-blocks,0.011150238105822935,15
pokerhand,0.023596955018041266,35
PopularKids,0.021028839098959595,18
prnn_fglass,0.03957761348418705,22
prnn_viruses,0.05226666666666666,27
rmftsa_sleepdata,0.015660942186313653,21
robot-failures-lp1,0.04188813963813966,27
robot-failures-lp5,0.02165421196120073,17
satimage,0.0031805747792820636,15
seeds,0.01347319057703462,24
segment,0.003130755386970039,25
seismic-bumps,0.008563257889524025,14
semeion,0.004163271740454425,22
shuttle,0.007943147956755391,22
spectrometer,0.005239020338345446,17
steel-plates-fault,0.017680627639122027,17
synthetic_control,0.0,3
tae,0.03197577418378402,17
tamilnadu-electricity,0.013371839663861967,17
teachingAssistant,0.028940494412685758,21
thyroid-allbp,0.009411102326217525,24
thyroid-allhyper,0.006046971643730392,30
user-knowledge,0.007965783294974261,23
vehicle,0.03138708775089925,18
vertebra-column,0.01944678632731688,30
volcanoes-a1,0.008333037827420153,24
volcanoes-a3,0.018693202751244455,15
volcanoes-a4,0.008007463201082421,20
volcanoes-d1,0.004737113725397235,30
wall-robot-navigation,0.0033289841828731334,18
waveform-5000,0.0024168011655843814,22
wine,0.006320011106897616,30
wine-quality-white,0.009218358807825188,20
zoo,0.0,11
