"name","mean disp (val)","mean disp (iter)"
abalone,0.012015342021105746,28
artificial-characters,0.004729817955744275,18
balance-scale,0.006429783765000435,21
breast-tissue,0.02199204499204501,24
car,0.014929221650433066,31
cardiotocography,0.028383794221548485,23
cmc,0.004417772514976182,27
cnae-9,0.001441589367774565,26
collins,0.037408028482346665,28
covertype,0.014112679110933769,29
desharnais,0.029273864621690692,33
diggle_table_a2,0.004544472030494029,32
ecoli,0.01182609059584796,21
energy-efficiency,0.03704436821037077,16
eye_movements,0.015739176884715756,22
fabert,3.334644656183272e-05,26
fars,0.01244112886703258,19
Fashion-MNIST,0.0075349440228408395,15
gas-drift,0.0014861016597044995,23
gas-drift-different-concentrations,0.0014032523085634094,26
gina_prior2,0.0035111558611975236,12
glass,0.02443007440390601,21
har,0.0014086148771750074,19
hayes-roth,0.013496673946015452,20
heart-long-beach,0.031082616818267284,21
heart-switzerland,0.024516565064816344,28
helena,0.005398182107099159,19
Indian_pines,0.04477079176038691,22
iris,0.0,6
jannis,2.586466781673291e-06,20
JapaneseVowels,0.11508245242005985,22
jungle_chess_2pcs_endgame_panther_elephant,0.0,5
jungle_chess_2pcs_raw_endgame_complete,0.006704372969595018,28
leaf,0.012217299431092565,21
LED-display-domain-7digit,0.0076077335519361185,28
mfeat-factors,0.013087972805583395,20
mfeat-fourier,0.003133613848196237,26
mfeat-karhunen,0.002323620417466854,21
mfeat-morphological,0.05132389528232474,23
mfeat-pixel,0.011484314557708219,18
microaggregation2,0.006282391130715914,19
nursery,0.008877012776463526,17
page-blocks,0.010501001288687261,14
pokerhand,0.0419998392492623,17
PopularKids,0.011763008174606626,29
prnn_fglass,0.011365516834072054,32
prnn_viruses,0.0,7
rmftsa_sleepdata,0.008403929067370187,33
robot-failures-lp1,0.018666666666666644,17
robot-failures-lp5,0.012367401837363411,23
satimage,0.001961837422270968,20
seeds,0.008847024295621963,19
segment,0.004360536196130642,20
seismic-bumps,0.009223224152059792,26
semeion,0.002210059494674646,27
shuttle,0.0011813326411704804,21
spectrometer,0.006768922275721778,25
steel-plates-fault,0.01625969076455449,23
synthetic_control,0.0,5
tae,0.01466021702152922,15
tamilnadu-electricity,0.021838084875770512,21
teachingAssistant,0.015642474884946623,28
thyroid-allbp,0.01331566218251613,33
thyroid-allhyper,0.01133815051524456,24
user-knowledge,0.004985438383448415,24
vehicle,0.04493996057863101,26
vertebra-column,0.012102850450172897,24
volcanoes-a1,0.010619895240654709,24
volcanoes-a3,0.00993917832288611,27
volcanoes-a4,0.013223040621362647,22
volcanoes-d1,0.005733037964544274,21
wall-robot-navigation,0.0017523809556713934,28
waveform-5000,0.0030101466884798088,25
wine,0.0035429091590036045,21
wine-quality-white,0.008802420951850364,23
zoo,0.05566386554621848,30
