"name","best_incubment_posterior","achieved_iteration_posterior"
abalone,0.6392801073012333,17
artificial-characters,0.3703697939108983,28
balance-scale,0.03027065527065531,59
breast-tissue,0.611904761904762,79
car,0.15184294080873884,97
cardiotocography,0.1756263580812616,29
cmc,0.44444960327467065,94
cnae-9,0.042450282858704336,27
collins,0.9073192863137471,93
covertype,0.4195753369443853,21
desharnais,0.21324354657687994,75
diggle_table_a2,0.9820872274143302,68
ecoli,0.3016781819413398,70
energy-efficiency,0.7633112535633544,78
eye_movements,0.5497029104342184,70
fabert,0.8338013103356063,0
fars,0.5364425058998907,39
Fashion-MNIST,0.17686180495543202,93
gas-drift,0.017531620725446007,15
gas-drift-different-concentrations,0.013627009861401973,46
gina_prior2,0.08229934903242775,60
glass,0.4077200577200578,56
har,0.020148134837588816,73
hayes-roth,0.13095238095238093,4
heart-long-beach,0.6409723406674626,69
heart-switzerland,0.6790476190476191,48
helena,0.9891268695603338,36
Indian_pines,0.5384305404385706,98
iris,0.0,6
jannis,0.9999982429198455,86
JapaneseVowels,0.6273563186856013,39
jungle_chess_2pcs_endgame_panther_elephant,0.0,8
jungle_chess_2pcs_raw_endgame_complete,0.2877162640240102,97
leaf,0.44269293924466335,15
LED-display-domain-7digit,0.2558248254415303,15
mfeat-factors,0.08207512255321026,91
mfeat-fourier,0.16188731544687496,58
mfeat-karhunen,0.02907290452883715,67
mfeat-morphological,0.5401311997701825,21
mfeat-pixel,0.5609573381013349,83
microaggregation2,0.5820220584282018,57
nursery,0.06679929915941907,40
page-blocks,0.16491025930226866,62
pokerhand,0.30456348915722764,58
PopularKids,0.044200244200244154,67
prnn_fglass,0.367687074829932,99
prnn_viruses,0.0,2
rmftsa_sleepdata,0.9013263351317539,64
robot-failures-lp1,0.0,63
robot-failures-lp5,0.3130718954248366,93
satimage,0.09882121033712554,60
seeds,0.05475077521173688,30
segment,0.02797344411890923,67
seismic-bumps,0.040075170307728336,47
semeion,0.04528498625903654,39
shuttle,0.008024296675191778,77
spectrometer,0.9652808491817779,2
steel-plates-fault,0.7524666426362654,31
synthetic_control,0.0,17
tae,0.37258407833120477,14
tamilnadu-electricity,0.03212294070069377,93
teachingAssistant,0.3867243867243867,14
thyroid-allbp,0.569804900993705,19
thyroid-allhyper,0.5312916309711773,63
user-knowledge,0.1518429961246145,59
vehicle,0.44347087817912767,22
vertebra-column,0.149607826359773,32
volcanoes-a1,0.788495592829145,21
volcanoes-a3,0.7705660623451154,75
volcanoes-a4,0.7819967266775777,23
volcanoes-d1,0.8053359298928919,62
wall-robot-navigation,0.016473396043397814,1
waveform-5000,0.12871294015921197,22
wine,0.9809523809523809,35
wine-quality-white,0.7869778141316244,26
zoo,0.0,35
