"name","best_incubment","achieved_iteration"
page-blocks,0.13516414692083642,84
robot-failures-lp1,0.08618397125750067,82
mfeat-fourier,0.16586653632657422,97
jungle_chess_2pcs_raw_endgame_complete,0.2831540971429782,99
heart-switzerland,0.6538168757168756,98
gas-drift-different-concentrations,0.014135671941996442,92
wall-robot-navigation,0.02080579413576409,83
jungle_chess_2pcs_endgame_panther_elephant,0.0004813765790142255,88
leaf,0.40293986047115576,95
PopularKids,0.0755458190128694,85
mfeat-karhunen,0.02322287779210741,99
diggle_table_a2,0.9795551003350139,97
rmftsa_sleepdata,0.9080866235490108,95
semeion,0.06514854990131118,87
desharnais,0.094592058505102,86
teachingAssistant,0.4417724517376909,98
collins,0.8756704066611304,97
volcanoes-a3,0.7748012053245856,97
artificial-characters,0.3559097202747393,97
volcanoes-a4,0.7954900451834821,99
glass,0.5438046693293679,85
nursery,0.06674407462192931,81
shuttle,0.02125073667637095,98
segment,0.018440943963987422,97
heart-long-beach,0.6881087163579751,91
vertebra-column,0.1430715573316498,98
cnae-9,0.04608401806475787,98
jannis,0.9999873749141746,87
wine-quality-white,0.7684229624815606,97
vehicle,0.34810891893008283,96
ecoli,0.13981443473353988,95
eye_movements,0.5454590857253053,94
seeds,0.057802300267854614,96
car,0.16487930442466345,85
fabert,0.8563974922818955,13
breast-tissue,0.6818280793280793,93
thyroid-allbp,0.5500200435481564,99
gas-drift,0.01229587283888477,99
mfeat-factors,0.06790745344168528,94
volcanoes-d1,0.7979166787265425,96
har,0.01990235753262858,96
satimage,0.11962597103528783,86
Fashion-MNIST,0.1841999445039933,70
seismic-bumps,0.02381313808909159,66
pokerhand,0.30047170829842273,93
helena,0.9781497717820775,98
thyroid-allhyper,0.5189136491165705,98
wine,0.974506165505316,99
balance-scale,0.053141906070482484,96
microaggregation2,0.5716839504480571,88
steel-plates-fault,0.7624399867662701,87
tae,0.45732035806702226,86
mfeat-pixel,0.558084964753526,95
gina_prior2,0.07109914430206611,97
synthetic_control,0.0,14
cmc,0.4518832129599252,92
energy-efficiency,0.8229788731752743,92
iris,0.0,5
fars,0.4919820642867753,87
abalone,0.615400258824198,95
prnn_viruses,0.03733333333333333,93
Indian_pines,0.4921257947810759,96
covertype,0.44623970623986625,89
JapaneseVowels,0.5106516915536152,96
user-knowledge,0.12889846264159402,95
spectrometer,0.9661251360456881,92
hayes-roth,0.1456313707054801,97
robot-failures-lp5,0.2881688745907933,91
prnn_fglass,0.39034465586128364,84
waveform-5000,0.13219632609315485,89
zoo,0.0,48
cardiotocography,0.12124778732718564,96
mfeat-morphological,0.5584251769846496,98
volcanoes-a1,0.7917649985130863,98
tamilnadu-electricity,0.04787838195460763,98
LED-display-domain-7digit,0.22008194071239123,79
